show_id,type,title,director,country,release_year,rating,duration,Genre
s73,TV Show,Jack Whitehall: Travels with My Father,,United Kingdom,2021,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows"
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,2018,TV-MA,182 min,"Dramas, International Movies"
s75,TV Show,The World's Most Amazing Vacation Rentals,,,2021,TV-PG,2 Seasons,Reality TV
s76,Movie,You vs. Wild: Out Cold,Ben Simms,,2021,TV-G,106 min,Children & Family Movies
s77,TV Show,Yowamushi Pedal,,Japan,2013,TV-14,1 Season,"Anime Series, International TV Shows"
s78,Movie,Little Singham - Black Shadow,Prakash Satam,,2021,TV-Y7,48 min,"Children & Family Movies, Comedies"
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,,2020,TV-14,145 min,"Comedies, Dramas, International Movies"
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,,2021,TV-14,145 min,"Comedies, Dramas, International Movies"
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,,2021,TV-Y7,93 min,Children & Family Movies
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,2021,R,106 min,Action & Adventure
s83,TV Show,Lucifer,,United States,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
s84,TV Show,Metal Shop Masters,,,2021,TV-MA,1 Season,Reality TV
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas"
s86,TV Show,Pokémon Master Journeys: The Series,,,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
s87,Movie,Prey,Thomas Sieben,,2021,TV-MA,87 min,"International Movies, Thrillers"
s88,TV Show,Titipo Titipo,,,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,,2021,PG-13,96 min,"Documentaries, Sports Movies"
s90,TV Show,Mighty Raju,,,2017,TV-Y7,4 Seasons,Kids' TV
s91,Movie,Paradise Hills,Alice Waddington,"Spain, United States",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers"
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021,TV-14,92 min,"Documentaries, International Movies"
s93,TV Show,Into the Night,,Belgium,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
s94,Movie,JJ+E,Alexis Almström,,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies"
s95,Movie,Show Dogs,Raja Gosnell,"United Kingdom, United States",2018,PG,90 min,"Children & Family Movies, Comedies"
s96,TV Show,The Circle,,"United States, United Kingdom",2021,TV-MA,3 Seasons,Reality TV
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2018,TV-MA,97 min,"Documentaries, Music & Musicals"
s98,TV Show,Kid Cosmic,,United States,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy"
s99,TV Show,Octonauts: Above & Beyond,,United Kingdom,2021,TV-Y,1 Season,"British TV Shows, Kids' TV"
s100,TV Show,On the Verge,,"France, United States",2021,TV-MA,1 Season,"TV Comedies, TV Dramas"
s101,TV Show,Tobot Galaxy Detectives,,,2019,TV-Y7,2 Seasons,Kids' TV
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021,TV-MA,80 min,"Documentaries, Sports Movies"
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,2021,TV-14,1 Season,"Docuseries, Science & Nature TV"
s104,Movie,Shadow Parties,Yemi Amodu,,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers"
s105,TV Show,Tayo the Little Bus,,South Korea,2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas"
s107,TV Show,Bunk'd,,United States,2021,TV-G,5 Seasons,"Kids' TV, TV Comedies"
s108,Movie,A Champion Heart,David de Vos,United States,2018,G,90 min,"Children & Family Movies, Dramas"
s109,TV Show,Dive Club,,Australia,2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows"
s110,TV Show,La casa de papel,,Spain,2021,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier GÃ³mez Santander",,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows"
